*edges
G1	G2	i 1	c 1.0	o 0.0
G2	G3	i 1	c 1.0	o 0.0
G3	G4	i 1	c 1.0	o 0.0
G4	G5	i 1	c 1.0	o 0.0
G5	G6	i 1	c 1.0	o 0.0
G6	G7	i 1	c 1.0	o 0.0
G7	G8	i 1	c 1.0	o 0.0
G8	G9	i 1	c 1.0	o 0.0
G9	G10	i 1	c 1.0	o 0.0
G10	G11	i 1	c 1.0	o 0.0
G11	G12	i 1	c 1.0	o 0.0
G12	G13	i 1	c 1.0	o 0.0
G13	G14	i 1	c 1.0	o 0.0
G14	G15	i 1	c 1.0	o 0.0
*nodes
G1	0.05	0.50
G2	0.12	0.50
G3	0.19	0.50
G4	0.26	0.50
G5	0.33	0.50
G6	0.40	0.50
G7	0.47	0.50
G8	0.54	0.50
G9	0.61	0.50
G10	0.68	0.50
G11	0.75	0.50
G12	0.82	0.50
G13	0.89	0.50
G14	0.50	0.80
G15	0.50	0.90
