Ensembl	Symbol	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000165995	CACNB2	495.567498008168	3.28708283201402	0.132452276556289	24.8171108679818	5.85991370530011e-136	5.5269080903615e-132
ENSG00000152583	SPARCL1	997.961168152844	4.57094377752404	0.184243582616867	24.8092428110741	7.12551806918262e-136	5.5269080903615e-132
ENSG00000120129	DUSP1	3411.96609646938	2.9438586282636	0.122144505779337	24.1014412353668	2.41422884704069e-128	1.24839773680474e-124
ENSG00000101347	SAMHD1	12712.9456127058	3.76302095242327	0.156437740116966	24.0544318117209	7.50234430146077e-128	2.90959667871402e-124
ENSG00000189221	MAOA	2343.57334924977	3.34972117241553	0.142213999514057	23.5540887947844	1.1399069915753e-122	3.53667543206153e-119
ENSG00000211445	GPX3	12298.1966308959	3.72641425554469	0.167218590066739	22.284688885712	5.20170282933458e-110	1.34490026652446e-106
ENSG00000157214	STEAP2	3012.85797715233	1.97278294425759	0.0908848408692902	21.7064025792247	1.78493740219931e-104	3.95567627433114e-101
ENSG00000162614	NEXN	5399.1359732014	2.0316965665865	0.0957448090527871	21.2199135043066	6.25389646966281e-100	1.21270869917349e-96
ENSG00000125148	MT2A	3659.69602097282	2.2070060343649	0.106915163445602	20.6425914083536	1.13794922073049e-94	1.96144514013246e-91
ENSG00000154734	ADAMTS1	30345.8486135559	2.34163181896469	0.117536251132788	19.9226349011183	2.58996880934291e-88	4.01781861393365e-85
ENSG00000139132	FGD4	1224.56793655509	2.22490724398335	0.112894675827232	19.707813744806	1.84779278503042e-86	2.60589177037972e-83
ENSG00000162493	PDPN	1100.78296680739	1.88728901111678	0.0962143314314482	19.6154666673692	1.14085112792959e-85	1.47483529563097e-82
ENSG00000162692	VCAM1	509.657746953338	-3.69626501925137	0.18972070720137	-19.4826651965204	1.54047740691681e-84	1.82792140435042e-81
ENSG00000179094	PER1	777.098912422347	3.18777445013888	0.163650510195535	19.4791598653131	1.64964221368567e-84	1.82792140435042e-81
ENSG00000134243	SORT1	5516.90297696829	2.19171652997977	0.112768945462555	19.4354617841801	3.86916880670067e-84	4.00149437988983e-81
ENSG00000163884	KLF15	561.414367977579	4.45533387480482	0.233993850115066	19.0403887649779	7.8939527783469e-81	7.65368059065596e-78
ENSG00000178695	KCTD12	2657.21826213722	-2.53221536609323	0.135727450627937	-18.6566192349303	1.11570503789142e-77	1.01811366192997e-74
ENSG00000148848	ADAM12	1368.66954436033	-1.81844417756663	0.100759280459696	-18.0474113081228	8.26759543025265e-73	7.12528932830608e-70
ENSG00000146250	PRSS35	314.669754976266	-2.76008209265421	0.153403446766971	-17.992308196614	2.23837088669861e-72	1.8275709244924e-69
ENSG00000198624	CCDC69	2059.02790703009	2.91447607310035	0.162431991384423	17.9427466736078	5.4684100603326e-72	4.24157226329698e-69
ENSG00000107562	CXCL12	25196.5455384324	-1.91564392630434	0.106946434622446	-17.9121812996119	9.4748607027056e-72	6.99921495624152e-69
ENSG00000106976	DNM1	887.017039305159	-1.76025778079833	0.0998433903528471	-17.6301883838036	1.44484835847955e-69	1.01881511750424e-66
ENSG00000154930	ACSS1	670.832739210563	1.89449137635609	0.108583830412534	17.4472697192436	3.61084908547048e-68	2.43543921143059e-65
ENSG00000163394	CCKAR	1220.86779388423	-2.19269363329242	0.12607539613655	-17.3919234084147	9.49922291289488e-68	6.14006021032243e-65
ENSG00000253368	TRNP1	1041.3062377714	1.98507679340187	0.115045623969269	17.2546918771297	1.03170599169514e-66	6.40194201966668e-64
ENSG00000163661	PTX3	8574.29391846598	2.25629259976503	0.131815431483258	17.1170596217454	1.10728895057922e-65	6.60668211166748e-63
ENSG00000162616	DNAJB4	1469.49979755538	1.51515701970085	0.0885927821440982	17.1024882956764	1.42201183272259e-65	8.17024798556502e-63
ENSG00000124766	SOX4	1284.80133428659	-2.41604855603488	0.141446998553087	-17.0809460840423	2.05755409648085e-65	1.13995845352527e-62
ENSG00000197381	ADARB1	1970.97960837363	2.31708853181969	0.13624549260913	17.0067169742423	7.32279511768708e-65	3.91719036760965e-62
ENSG00000148175	STOM	11206.9334791584	1.44389949819775	0.0855087026703586	16.8859946778058	5.70466950135862e-64	2.94988459915254e-61
ENSG00000116285	ERRFI1	3235.76308757943	2.42055958432373	0.144812456076309	16.715133835229	1.01691409315849e-62	5.08883494424761e-60
ENSG00000172403	SYNPO2	8023.95226932514	1.74040323906663	0.104165862225855	16.7080001247726	1.14615400231542e-62	5.55633969934971e-60
ENSG00000163083	INHBB	419.092237259968	3.44625777329954	0.207965396678765	16.5713038242743	1.12362785442055e-61	5.28207239564425e-59
ENSG00000166741	NNMT	7439.86238571723	2.18341949427883	0.135380599536028	16.1280087528182	1.62165173780438e-58	7.39902453192924e-56
ENSG00000105989	WNT2	334.419775095649	-3.04659047354249	0.189710440696613	-16.059160805043	4.93178539875812e-58	2.18590819688385e-55
ENSG00000070404	FSTL3	2130.30251692001	1.81150866491876	0.114204719779009	15.8619422071532	1.16242703511699e-56	5.00909183215829e-54
ENSG00000122035	RASL11A	944.377660726553	2.28491074294127	0.144591758238266	15.8024964270513	2.99036089114051e-56	1.25376941903413e-53
ENSG00000119139	TJP2	5036.04768030671	1.92396955764558	0.12287500533975	15.6579407856447	2.93238986967822e-55	1.1971095802189e-52
ENSG00000136478	TEX2	3706.26471911544	1.46182125374533	0.0940350765540725	15.5454890591252	1.70714446858281e-54	6.79049542080132e-52
ENSG00000172986	GXYLT2	758.359345202166	-1.5768801114218	0.104008301305675	-15.1610986010379	6.3989958539167e-52	2.48169056704524e-49
ENSG00000196569	LAMA2	17195.8341763239	2.02666007374076	0.133829560272421	15.1435906209011	8.35260644602741e-52	3.16034106822496e-49
ENSG00000221866	PLXNA4	847.835439461576	2.74927472578838	0.18160837348624	15.1384799776134	9.02761960706319e-52	3.33441578486598e-49
ENSG00000060718	COL11A1	364.275806006126	2.42317418243245	0.160100959574944	15.1352883134854	9.47644859465926e-52	3.41879411741742e-49
ENSG00000157150	TIMP4	167.720474430608	2.94102725050996	0.194340822552896	15.1333477540956	9.76013072951237e-52	3.44111154561194e-49
ENSG00000099337	KCNK6	530.509057577995	2.71442235578838	0.180477022033144	15.0402656538177	3.99941893249284e-51	1.3787330199947e-48
ENSG00000100242	SUN2	2238.64909413392	1.85505997967244	0.123466805314767	15.0247669804296	5.05387474298101e-51	1.70436432364923e-48
ENSG00000145685	LHFPL2	2022.83906876556	-1.24389933301042	0.0828784508469947	-15.0087184340213	6.43795892354328e-51	2.12493737831759e-48
